Year,Month,Stage of processing number,Stage of processing details,Index Value,
2010,APR,3,Finished goods,100.3,
2010,APR,3.1,Finished consumer goods,99.6,
2010,APR,3.1.1,Finished consumer foods,99.1,
2010,APR,3.1.1.1,Crude,100.1,
2010,APR,3.1.1.2,Processed,99.0,
2010,APR,3.1.2,Finished consumer goods excluding foods,99.8,
2010,APR,3.1.2.1,Durable,99.4,
2010,APR,3.1.2.2,Semi-durable,99.7,
2010,APR,3.1.2.3,Non-durable,100.1,
2010,APR,3.2,Capital equipment,100.7,
2010,APR,3.2.1,Manufacturing industries,100.8,
2010,APR,3.2.2,Non-manufacturing industries,100.6,
2010,MAY,Total,Total,98.6,
2010,MAY,1,Crude materials for further processing,93.7,
2010,MAY,1.1,Foodstuffs and feedstuffs,100.0,
2010,MAY,1.2,Non-food materials,92.1,
2010,MAY,1.2.1,Non-food materials except fuel,91.7,
2010,MAY,1.2.2,Crude fuel,92.3,
2010,MAY,2,Intermediate materials supplies and components,99.6,
2010,MAY,2.1,Materials and components for manufacturing,97.9,
2010,MAY,2.1.1,Materials for food manufacturing,95.4,
2010,MAY,2.1.2,Materials for others manufacturing,98.9,
2010,MAY,2.2,Materials and components for construction,100.5,
2010,MAY,2.3,Processed fuels and lubricants,103.2,
2010,MAY,2.4,Containers,100.0,
2010,MAY,2.5,Supplies,99.4,
2010,MAY,2.5.1,Manufacturing industries,99.2,
2010,MAY,2.5.2,Non-manufacturing industries,100.6,
2010,MAY,2.5.2.1,Feeds,-,
2010,MAY,2.5.2.2,Other supplies,100.6,
2010,MAY,3,Finished goods,100.2,
2010,MAY,3.1,Finished consumer goods,100.1,
2010,MAY,3.1.1,Finished consumer foods,99.9,
2010,MAY,3.1.1.1,Crude,101.5,
2010,MAY,3.1.1.2,Processed,99.8,
2010,MAY,3.1.2,Finished consumer goods excluding foods,100.2,
2010,MAY,3.1.2.1,Durable,100.1,
2010,MAY,3.1.2.2,Semi-durable,99.7,
2010,MAY,3.1.2.3,Non-durable,100.6,
2010,MAY,3.2,Capital equipment,100.3,
2010,MAY,3.2.1,Manufacturing industries,100.2,
2010,MAY,3.2.2,Non-manufacturing industries,100.3,
2010,JUN,Total,Total,99.0,
2010,JUN,1,Crude materials for further processing,96.0,
2010,JUN,1.1,Foodstuffs and feedstuffs,100.1,
2010,JUN,1.2,Non-food materials,94.9,
2010,JUN,1.2.1,Non-food materials except fuel,91.5,
2010,JUN,1.2.2,Crude fuel,96.4,
2010,JUN,2,Intermediate materials supplies and components,99.5,
2010,JUN,2.1,Materials and components for manufacturing,97.7,
2010,JUN,2.1.1,Materials for food manufacturing,95.6,
2010,JUN,2.1.2,Materials for others manufacturing,98.6,
