Year,Month,Stage of processing number,Stage of processing details,Index Value,
2013,FEB,1.2.2,Crude fuel,137.9,
2013,FEB,2,Intermediate materials supplies and components,110.2,
2013,FEB,2.1,Materials and components for manufacturing,101.4,
2013,FEB,2.1.1,Materials for food manufacturing,91.3,
2013,FEB,2.1.2,Materials for others manufacturing,105.5,
2013,FEB,2.2,Materials and components for construction,101.9,
2013,FEB,2.3,Processed fuels and lubricants,132.2,
2013,FEB,2.4,Containers,101.5,
2013,FEB,2.5,Supplies,110.6,
2013,FEB,2.5.1,Manufacturing industries,111.1,
2013,FEB,2.5.2,Non-manufacturing industries,107.4,
2013,FEB,2.5.2.1,Feeds,-,
2013,FEB,2.5.2.2,Other supplies,107.4,
2013,FEB,3,Finished goods,100.0,
2013,FEB,3.1,Finished consumer goods,104.8,
2013,FEB,3.1.1,Finished consumer foods,107.9,
2013,FEB,3.1.1.1,Crude,117.7,
2013,FEB,3.1.1.2,Processed,106.9,
2013,FEB,3.1.2,Finished consumer goods excluding foods,103.4,
2013,FEB,3.1.2.1,Durable,103.3,
2013,FEB,3.1.2.2,Semi-durable,104.7,
2013,FEB,3.1.2.3,Non-durable,102.6,
2013,FEB,3.2,Capital equipment,97.7,
2013,FEB,3.2.1,Manufacturing industries,97.4,
2013,FEB,3.2.2,Non-manufacturing industries,97.9,
2013,MAR,Total,Total,108.2,
2013,MAR,1,Crude materials for further processing,114.7,
2013,MAR,1.1,Foodstuffs and feedstuffs,113.5,
2013,MAR,1.2,Non-food materials,115.1,
2013,MAR,1.2.1,Non-food materials except fuel,82.0,
2013,MAR,1.2.2,Crude fuel,129.1,
2013,MAR,2,Intermediate materials supplies and components,109.7,
2013,MAR,2.1,Materials and components for manufacturing,101.0,
2013,MAR,2.1.1,Materials for food manufacturing,91.0,
2013,MAR,2.1.2,Materials for others manufacturing,104.9,
2013,MAR,2.2,Materials and components for construction,101.7,
2013,MAR,2.3,Processed fuels and lubricants,130.7,
2013,MAR,2.4,Containers,101.8,
2013,MAR,2.5,Supplies,111.4,
2013,MAR,2.5.1,Manufacturing industries,111.9,
2013,MAR,2.5.2,Non-manufacturing industries,107.6,
2013,MAR,2.5.2.1,Feeds,-,
2013,MAR,2.5.2.2,Other supplies,107.6,
2013,MAR,3,Finished goods,100.1,
2013,MAR,3.1,Finished consumer goods,104.8,
2013,MAR,3.1.1,Finished consumer foods,107.8,
2013,MAR,3.1.1.1,Crude,117.2,
2013,MAR,3.1.1.2,Processed,106.9,
2013,MAR,3.1.2,Finished consumer goods excluding foods,103.5,
2013,MAR,3.1.2.1,Durable,103.3,
2013,MAR,3.1.2.2,Semi-durable,105.1,
2013,MAR,3.1.2.3,Non-durable,102.4,
2013,MAR,3.2,Capital equipment,97.9,
2013,MAR,3.2.1,Manufacturing industries,97.8,
2013,MAR,3.2.2,Non-manufacturing industries,98.0,
2013,APR,Total,Total,107.3,
2013,APR,1,Crude materials for further processing,111.0,
2013,APR,1.1,Foodstuffs and feedstuffs,114.0,
2013,APR,1.2,Non-food materials,110.3,
2013,APR,1.2.1,Non-food materials except fuel,80.8,
2013,APR,1.2.2,Crude fuel,122.8,
2013,APR,2,Intermediate materials supplies and components,109.5,
2013,APR,2.1,Materials and components for manufacturing,100.3,
2013,APR,2.1.1,Materials for food manufacturing,90.7,
2013,APR,2.1.2,Materials for others manufacturing,104.1,
2013,APR,2.2,Materials and components for construction,101.8,
2013,APR,2.3,Processed fuels and lubricants,131.7,
2013,APR,2.4,Containers,101.8,
2013,APR,2.5,Supplies,110.4,
2013,APR,2.5.1,Manufacturing industries,110.8,
2013,APR,2.5.2,Non-manufacturing industries,107.5,
2013,APR,2.5.2.1,Feeds,-,
2013,APR,2.5.2.2,Other supplies,107.5,
2013,APR,3,Finished goods,100.0,
2013,APR,3.1,Finished consumer goods,104.8,
2013,APR,3.1.1,Finished consumer foods,107.3,
2013,APR,3.1.1.1,Crude,116.0,
2013,APR,3.1.1.2,Processed,106.4,
2013,APR,3.1.2,Finished consumer goods excluding foods,103.7,
2013,APR,3.1.2.1,Durable,103.3,
2013,APR,3.1.2.2,Semi-durable,105.5,
2013,APR,3.1.2.3,Non-durable,102.8,
2013,APR,3.2,Capital equipment,97.8,
2013,APR,3.2.1,Manufacturing industries,97.3,
2013,APR,3.2.2,Non-manufacturing industries,98.2,
2013,MAY,Total,Total,106.6,
2013,MAY,1,Crude materials for further processing,110.3,
2013,MAY,1.1,Foodstuffs and feedstuffs,114.0,
2013,MAY,1.2,Non-food materials,109.4,
2013,MAY,1.2.1,Non-food materials except fuel,79.7,
2013,MAY,1.2.2,Crude fuel,121.9,
2013,MAY,2,Intermediate materials supplies and components,108.5,
2013,MAY,2.1,Materials and components for manufacturing,100.0,
2013,MAY,2.1.1,Materials for food manufacturing,91.1,
2013,MAY,2.1.2,Materials for others manufacturing,103.5,
2013,MAY,2.2,Materials and components for construction,101.9,
2013,MAY,2.3,Processed fuels and lubricants,128.2,
2013,MAY,2.4,Containers,101.9,
2013,MAY,2.5,Supplies,110.6,
2013,MAY,2.5.1,Manufacturing industries,111.0,
2013,MAY,2.5.2,Non-manufacturing industries,107.7,
2013,MAY,2.5.2.1,Feeds,-,
2013,MAY,2.5.2.2,Other supplies,107.7,
2013,MAY,3,Finished goods,100.0,
2013,MAY,3.1,Finished consumer goods,104.7,
2013,MAY,3.1.1,Finished consumer foods,106.9,
2013,MAY,3.1.1.1,Crude,117.0,
2013,MAY,3.1.1.2,Processed,105.9,
2013,MAY,3.1.2,Finished consumer goods excluding foods,103.7,
2013,MAY,3.1.2.1,Durable,103.3,
2013,MAY,3.1.2.2,Semi-durable,105.0,
2013,MAY,3.1.2.3,Non-durable,103.0,
2013,MAY,3.2,Capital equipment,97.7,
2013,MAY,3.2.1,Manufacturing industries,97.3,
2013,MAY,3.2.2,Non-manufacturing industries,98.0,
2013,JUN,Total,Total,107.6,
2013,JUN,1,Crude materials for further processing,112.6,
2013,JUN,1.1,Foodstuffs and feedstuffs,116.0,
2013,JUN,1.2,Non-food materials,111.7,
2013,JUN,1.2.1,Non-food materials except fuel,83.3,
2013,JUN,1.2.2,Crude fuel,123.7,
2013,JUN,2,Intermediate materials supplies and components,109.6,
2013,JUN,2.1,Materials and components for manufacturing,100.0,
2013,JUN,2.1.1,Materials for food manufacturing,92.8,
2013,JUN,2.1.2,Materials for others manufacturing,102.9,
2013,JUN,2.2,Materials and components for construction,101.8,
2013,JUN,2.3,Processed fuels and lubricants,132.4,
2013,JUN,2.4,Containers,101.7,
2013,JUN,2.5,Supplies,110.8,
2013,JUN,2.5.1,Manufacturing industries,111.3,
2013,JUN,2.5.2,Non-manufacturing industries,107.6,
2013,JUN,2.5.2.1,Feeds,-,
2013,JUN,2.5.2.2,Other supplies,107.6,
2013,JUN,3,Finished goods,99.9,
2013,JUN,3.1,Finished consumer goods,104.8,
2013,JUN,3.1.1,Finished consumer foods,107.2,
2013,JUN,3.1.1.1,Crude,115.3,
2013,JUN,3.1.1.2,Processed,106.4,
2013,JUN,3.1.2,Finished consumer goods excluding foods,103.7,
2013,JUN,3.1.2.1,Durable,103.4,
2013,JUN,3.1.2.2,Semi-durable,105.2,
2013,JUN,3.1.2.3,Non-durable,102.9,
2013,JUN,3.2,Capital equipment,97.5,
2013,JUN,3.2.1,Manufacturing industries,97.1,
2013,JUN,3.2.2,Non-manufacturing industries,97.9,
2013,JUL,Total,Total,108.2,
2013,JUL,1,Crude materials for further processing,115.6,
2013,JUL,1.1,Foodstuffs and feedstuffs,116.0,
2013,JUL,1.2,Non-food materials,115.5,
2013,JUL,1.2.1,Non-food materials except fuel,81.5,
2013,JUL,1.2.2,Crude fuel,130.0,
2013,JUL,2,Intermediate materials supplies and components,109.3,
2013,JUL,2.1,Materials and components for manufacturing,100.3,
2013,JUL,2.1.1,Materials for food manufacturing,92.4,
2013,JUL,2.1.2,Materials for others manufacturing,103.4,
2013,JUL,2.2,Materials and components for construction,102.3,
2013,JUL,2.3,Processed fuels and lubricants,130.8,
2013,JUL,2.4,Containers,101.1,
2013,JUL,2.5,Supplies,110.7,
2013,JUL,2.5.1,Manufacturing industries,111.2,
2013,JUL,2.5.2,Non-manufacturing industries,107.7,
2013,JUL,2.5.2.1,Feeds,-,
2013,JUL,2.5.2.2,Other supplies,107.7,
2013,JUL,3,Finished goods,100.0,
2013,JUL,3.1,Finished consumer goods,104.9,
2013,JUL,3.1.1,Finished consumer foods,107.6,
2013,JUL,3.1.1.1,Crude,118.1,
2013,JUL,3.1.1.2,Processed,106.6,
2013,JUL,3.1.2,Finished consumer goods excluding foods,103.7,
2013,JUL,3.1.2.1,Durable,103.1,
2013,JUL,3.1.2.2,Semi-durable,105.2,
2013,JUL,3.1.2.3,Non-durable,103.2,
2013,JUL,3.2,Capital equipment,97.7,
2013,JUL,3.2.1,Manufacturing industries,97.5,
2013,JUL,3.2.2,Non-manufacturing industries,97.8,
2013,AUG,Total,Total,108.8,
2013,AUG,1,Crude materials for further processing,119.2,
2013,AUG,1.1,Foodstuffs and feedstuffs,114.9,
2013,AUG,1.2,Non-food materials,120.4,
2013,AUG,1.2.1,Non-food materials except fuel,82.3,
2013,AUG,1.2.2,Crude fuel,136.5,
2013,AUG,2,Intermediate materials supplies and components,109.1,
2013,AUG,2.1,Materials and components for manufacturing,100.9,
2013,AUG,2.1.1,Materials for food manufacturing,92.7,
2013,AUG,2.1.2,Materials for others manufacturing,104.1,
2013,AUG,2.2,Materials and components for construction,102.3,
2013,AUG,2.3,Processed fuels and lubricants,128.9,
2013,AUG,2.4,Containers,101.2,
2013,AUG,2.5,Supplies,110.6,
2013,AUG,2.5.1,Manufacturing industries,111.0,
2013,AUG,2.5.2,Non-manufacturing industries,107.6,
2013,AUG,2.5.2.1,Feeds,-,
2013,AUG,2.5.2.2,Other supplies,107.6,
2013,AUG,3,Finished goods,100.1,
2013,AUG,3.1,Finished consumer goods,105.1,
2013,AUG,3.1.1,Finished consumer foods,107.7,
2013,AUG,3.1.1.1,Crude,121.2,
2013,AUG,3.1.1.2,Processed,106.3,
2013,AUG,3.1.2,Finished consumer goods excluding foods,104.0,
2013,AUG,3.1.2.1,Durable,103.3,
2013,AUG,3.1.2.2,Semi-durable,106.0,
2013,AUG,3.1.2.3,Non-durable,103.1,
2013,AUG,3.2,Capital equipment,97.8,
2013,AUG,3.2.1,Manufacturing industries,97.8,
2013,AUG,3.2.2,Non-manufacturing industries,97.7,
2013,SEP,Total,Total,109.4,
2013,SEP,1,Crude materials for further processing,121.2,
2013,SEP,1.1,Foodstuffs and feedstuffs,114.6,
2013,SEP,1.2,Non-food materials,122.9,
2013,SEP,1.2.1,Non-food materials except fuel,83.1,
2013,SEP,1.2.2,Crude fuel,139.7,
2013,SEP,2,Intermediate materials supplies and components,109.3,
2013,SEP,2.1,Materials and components for manufacturing,101.6,
2013,SEP,2.1.1,Materials for food manufacturing,93.1,
2013,SEP,2.1.2,Materials for others manufacturing,105.0,
2013,SEP,2.2,Materials and components for construction,102.3,
2013,SEP,2.3,Processed fuels and lubricants,127.5,
2013,SEP,2.4,Containers,101.8,
2013,SEP,2.5,Supplies,111.5,
2013,SEP,2.5.1,Manufacturing industries,112.1,
2013,SEP,2.5.2,Non-manufacturing industries,107.6,
2013,SEP,2.5.2.1,Feeds,-,
2013,SEP,2.5.2.2,Other supplies,107.6,
2013,SEP,3,Finished goods,100.4,
2013,SEP,3.1,Finished consumer goods,105.2,
2013,SEP,3.1.1,Finished consumer foods,107.9,
2013,SEP,3.1.1.1,Crude,117.7,
2013,SEP,3.1.1.2,Processed,107.0,
2013,SEP,3.1.2,Finished consumer goods excluding foods,103.9,
2013,SEP,3.1.2.1,Durable,103.6,
2013,SEP,3.1.2.2,Semi-durable,105.9,
2013,SEP,3.1.2.3,Non-durable,102.8,
2013,SEP,3.2,Capital equipment,98.1,
2013,SEP,3.2.1,Manufacturing industries,98.5,
2013,SEP,3.2.2,Non-manufacturing industries,97.9,
2013,OCT,Total,Total,109.4,
2013,OCT,1,Crude materials for further processing,118.3,
2013,OCT,1.1,Foodstuffs and feedstuffs,116.2,
2013,OCT,1.2,Non-food materials,118.9,
2013,OCT,1.2.1,Non-food materials except fuel,82.9,
2013,OCT,1.2.2,Crude fuel,134.1,
2013,OCT,2,Intermediate materials supplies and components,110.4,
2013,OCT,2.1,Materials and components for manufacturing,101.9,
2013,OCT,2.1.1,Materials for food manufacturing,94.5,
2013,OCT,2.1.2,Materials for others manufacturing,104.9,
2013,OCT,2.2,Materials and components for construction,102.3,
2013,OCT,2.3,Processed fuels and lubricants,131.5,
2013,OCT,2.4,Containers,102.3,
2013,OCT,2.5,Supplies,110.9,
2013,OCT,2.5.1,Manufacturing industries,111.4,
2013,OCT,2.5.2,Non-manufacturing industries,107.4,
2013,OCT,2.5.2.1,Feeds,-,
2013,OCT,2.5.2.2,Other supplies,107.4,
2013,OCT,3,Finished goods,100.2,
2013,OCT,3.1,Finished consumer goods,105.4,
2013,OCT,3.1.1,Finished consumer foods,108.5,
2013,OCT,3.1.1.1,Crude,117.3,
2013,OCT,3.1.1.2,Processed,107.6,
2013,OCT,3.1.2,Finished consumer goods excluding foods,104.0,
2013,OCT,3.1.2.1,Durable,103.5,
2013,OCT,3.1.2.2,Semi-durable,106.1,
2013,OCT,3.1.2.3,Non-durable,102.9,
2013,OCT,3.2,Capital equipment,97.8,
2013,OCT,3.2.1,Manufacturing industries,97.8,
2013,OCT,3.2.2,Non-manufacturing industries,97.7,
2013,NOV,Total,Total,110.2,
2013,NOV,1,Crude materials for further processing,121.0,
2013,NOV,1.1,Foodstuffs and feedstuffs,116.9,
2013,NOV,1.2,Non-food materials,122.0,
2013,NOV,1.2.1,Non-food materials except fuel,91.6,
2013,NOV,1.2.2,Crude fuel,134.8,
2013,NOV,2,Intermediate materials supplies and components,111.0,
2013,NOV,2.1,Materials and components for manufacturing,102.9,
2013,NOV,2.1.1,Materials for food manufacturing,97.8,
2013,NOV,2.1.2,Materials for others manufacturing,104.9,
2013,NOV,2.2,Materials and components for construction,102.3,
2013,NOV,2.3,Processed fuels and lubricants,131.8,
2013,NOV,2.4,Containers,102.4,
2013,NOV,2.5,Supplies,111.3,
2013,NOV,2.5.1,Manufacturing industries,111.8,
2013,NOV,2.5.2,Non-manufacturing industries,107.6,
2013,NOV,2.5.2.1,Feeds,-,
2013,NOV,2.5.2.2,Other supplies,107.6,
2013,NOV,3,Finished goods,100.3,
2013,NOV,3.1,Finished consumer goods,105.5,
2013,NOV,3.1.1,Finished consumer foods,108.8,
2013,NOV,3.1.1.1,Crude,123.3,
2013,NOV,3.1.1.2,Processed,107.3,
2013,NOV,3.1.2,Finished consumer goods excluding foods,104.1,
2013,NOV,3.1.2.1,Durable,103.6,
2013,NOV,3.1.2.2,Semi-durable,106.0,
2013,NOV,3.1.2.3,Non-durable,103.0,
2013,NOV,3.2,Capital equipment,97.9,
2013,NOV,3.2.1,Manufacturing industries,98.0,
2013,NOV,3.2.2,Non-manufacturing industries,97.8,
2013,DEC,Total,Total,112.2,
2013,DEC,1,Crude materials for further processing,123.6,
2013,DEC,1.1,Foodstuffs and feedstuffs,118.2,
2013,DEC,1.2,Non-food materials,125.0,
2013,DEC,1.2.1,Non-food materials except fuel,93.2,
2013,DEC,1.2.2,Crude fuel,138.5,
2013,DEC,2,Intermediate materials supplies and components,113.7,
2013,DEC,2.1,Materials and components for manufacturing,103.9,
2013,DEC,2.1.1,Materials for food manufacturing,98.5,
2013,DEC,2.1.2,Materials for others manufacturing,106.0,
2013,DEC,2.2,Materials and components for construction,102.2,
2013,DEC,2.3,Processed fuels and lubricants,140.6,
2013,DEC,2.4,Containers,102.2,
2013,DEC,2.5,Supplies,111.8,
2013,DEC,2.5.1,Manufacturing industries,112.3,
2013,DEC,2.5.2,Non-manufacturing industries,107.5,
2013,DEC,2.5.2.1,Feeds,-,
2013,DEC,2.5.2.2,Other supplies,107.5,
2013,DEC,3,Finished goods,100.3,
2013,DEC,3.1,Finished consumer goods,105.3,
2013,DEC,3.1.1,Finished consumer foods,108.7,
2013,DEC,3.1.1.1,Crude,124.7,
2013,DEC,3.1.1.2,Processed,107.1,
2013,DEC,3.1.2,Finished consumer goods excluding foods,103.8,
2013,DEC,3.1.2.1,Durable,103.4,
2013,DEC,3.1.2.2,Semi-durable,106.0,
2013,DEC,3.1.2.3,Non-durable,102.7,
2013,DEC,3.2,Capital equipment,98.0,
2013,DEC,3.2.1,Manufacturing industries,98.2,
2013,DEC,3.2.2,Non-manufacturing industries,97.8,
2014,JAN,Total,Total,111.9,
2014,JAN,1,Crude materials for further processing,122.0,
2014,JAN,1.1,Foodstuffs and feedstuffs,120.4,
2014,JAN,1.2,Non-food materials,122.4,
2014,JAN,1.2.1,Non-food materials except fuel,92.0,
2014,JAN,1.2.2,Crude fuel,135.3,
2014,JAN,2,Intermediate materials supplies and components,113.6,
2014,JAN,2.1,Materials and components for manufacturing,104.7,
2014,JAN,2.1.1,Materials for food manufacturing,99.2,
2014,JAN,2.1.2,Materials for others manufacturing,106.9,
2014,JAN,2.2,Materials and components for construction,102.5,
2014,JAN,2.3,Processed fuels and lubricants,138.2,
2014,JAN,2.4,Containers,102.2,
2014,JAN,2.5,Supplies,112.0,
2014,JAN,2.5.1,Manufacturing industries,112.6,
2014,JAN,2.5.2,Non-manufacturing industries,107.4,
2014,JAN,2.5.2.1,Feeds,-,
2014,JAN,2.5.2.2,Other supplies,107.4,
2014,JAN,3,Finished goods,100.6,
2014,JAN,3.1,Finished consumer goods,105.9,
2014,JAN,3.1.1,Finished consumer foods,109.4,
2014,JAN,3.1.1.1,Crude,127.6,
2014,JAN,3.1.1.2,Processed,107.6,
2014,JAN,3.1.2,Finished consumer goods excluding foods,104.3,
2014,JAN,3.1.2.1,Durable,103.5,
2014,JAN,3.1.2.2,Semi-durable,106.6,
2014,JAN,3.1.2.3,Non-durable,103.2,
2014,JAN,3.2,Capital equipment,98.1,
2014,JAN,3.2.1,Manufacturing industries,98.4,
2014,JAN,3.2.2,Non-manufacturing industries,97.8,
2014,FEB,Total,Total,113.4,
2014,FEB,1,Crude materials for further processing,124.5,
2014,FEB,1.1,Foodstuffs and feedstuffs,120.8,
2014,FEB,1.2,Non-food materials,125.4,
2014,FEB,1.2.1,Non-food materials except fuel,95.8,
2014,FEB,1.2.2,Crude fuel,137.9,
2014,FEB,2,Intermediate materials supplies and components,115.4,
2014,FEB,2.1,Materials and components for manufacturing,105.2,
2014,FEB,2.1.1,Materials for food manufacturing,100.7,
2014,FEB,2.1.2,Materials for others manufacturing,107.0,
2014,FEB,2.2,Materials and components for construction,102.6,
2014,FEB,2.3,Processed fuels and lubricants,144.1,
2014,FEB,2.4,Containers,102.0,
2014,FEB,2.5,Supplies,112.6,
2014,FEB,2.5.1,Manufacturing industries,113.4,
2014,FEB,2.5.2,Non-manufacturing industries,107.0,
2014,FEB,2.5.2.1,Feeds,-,
2014,FEB,2.5.2.2,Other supplies,107.0,
2014,FEB,3,Finished goods,100.8,
2014,FEB,3.1,Finished consumer goods,106.3,
2014,FEB,3.1.1,Finished consumer foods,110.5,
2014,FEB,3.1.1.1,Crude,130.0,
2014,FEB,3.1.1.2,Processed,108.5,
2014,FEB,3.1.2,Finished consumer goods excluding foods,104.4,
2014,FEB,3.1.2.1,Durable,103.5,
2014,FEB,3.1.2.2,Semi-durable,106.4,
2014,FEB,3.1.2.3,Non-durable,103.7,
2014,FEB,3.2,Capital equipment,98.2,
2014,FEB,3.2.1,Manufacturing industries,98.6,
2014,FEB,3.2.2,Non-manufacturing industries,97.8,
2014,MAR,Total,Total,113.9,
2014,MAR,1,Crude materials for further processing,124.7,
2014,MAR,1.1,Foodstuffs and feedstuffs,120.4,
2014,MAR,1.2,Non-food materials,125.8,
2014,MAR,1.2.1,Non-food materials except fuel,105.0,
2014,MAR,1.2.2,Crude fuel,134.7,
2014,MAR,2,Intermediate materials supplies and components,116.2,
2014,MAR,2.1,Materials and components for manufacturing,107.1,
2014,MAR,2.1.1,Materials for food manufacturing,105.9,
2014,MAR,2.1.2,Materials for others manufacturing,107.6,
2014,MAR,2.2,Materials and components for construction,102.6,
2014,MAR,2.3,Processed fuels and lubricants,142.8,
2014,MAR,2.4,Containers,103.1,
2014,MAR,2.5,Supplies,113.2,
2014,MAR,2.5.1,Manufacturing industries,114.1,
2014,MAR,2.5.2,Non-manufacturing industries,107.1,
2014,MAR,2.5.2.1,Feeds,-,
2014,MAR,2.5.2.2,Other supplies,107.1,
2014,MAR,3,Finished goods,100.8,
2014,MAR,3.1,Finished consumer goods,106.1,
2014,MAR,3.1.1,Finished consumer foods,109.9,
2014,MAR,3.1.1.1,Crude,128.9,
2014,MAR,3.1.1.2,Processed,108.0,
2014,MAR,3.1.2,Finished consumer goods excluding foods,104.5,
2014,MAR,3.1.2.1,Durable,103.6,
2014,MAR,3.1.2.2,Semi-durable,106.5,
2014,MAR,3.1.2.3,Non-durable,103.7,
2014,MAR,3.2,Capital equipment,98.2,
2014,MAR,3.2.1,Manufacturing industries,98.7,
2014,MAR,3.2.2,Non-manufacturing industries,97.8,
2014,APR,Total,Total,113.1,
2014,APR,1,Crude materials for further processing,122.1,
2014,APR,1.1,Foodstuffs and feedstuffs,119.7,
2014,APR,1.2,Non-food materials,122.7,
2014,APR,1.2.1,Non-food materials except fuel,98.4,
2014,APR,1.2.2,Crude fuel,133.0,
2014,APR,2,Intermediate materials supplies and components,115.7,
2014,APR,2.1,Materials and components for manufacturing,106.5,
2014,APR,2.1.1,Materials for food manufacturing,104.5,
2014,APR,2.1.2,Materials for others manufacturing,107.3,
2014,APR,2.2,Materials and components for construction,102.5,
2014,APR,2.3,Processed fuels and lubricants,142.4,
2014,APR,2.4,Containers,103.0,
2014,APR,2.5,Supplies,112.9,
2014,APR,2.5.1,Manufacturing industries,113.8,
2014,APR,2.5.2,Non-manufacturing industries,107.0,
2014,APR,2.5.2.1,Feeds,-,
2014,APR,2.5.2.2,Other supplies,107.0,
2014,APR,3,Finished goods,100.9,
2014,APR,3.1,Finished consumer goods,106.2,
2014,APR,3.1.1,Finished consumer foods,110.3,
2014,APR,3.1.1.1,Crude,128.3,
2014,APR,3.1.1.2,Processed,108.5,
2014,APR,3.1.2,Finished consumer goods excluding foods,104.4,
2014,APR,3.1.2.1,Durable,103.5,
2014,APR,3.1.2.2,Semi-durable,106.5,
2014,APR,3.1.2.3,Non-durable,103.6,
2014,APR,3.2,Capital equipment,98.3,
2014,APR,3.2.1,Manufacturing industries,98.9,
2014,APR,3.2.2,Non-manufacturing industries,97.9,
2014,MAY,Total,Total,112.2,
2014,MAY,1,Crude materials for further processing,122.1,
2014,MAY,1.1,Foodstuffs and feedstuffs,119.4,
2014,MAY,1.2,Non-food materials,122.8,
2014,MAY,1.2.1,Non-food materials except fuel,94.5,
2014,MAY,1.2.2,Crude fuel,134.8,
2014,MAY,2,Intermediate materials supplies and components,113.9,
2014,MAY,2.1,Materials and components for manufacturing,106.0,
2014,MAY,2.1.1,Materials for food manufacturing,102.8,
2014,MAY,2.1.2,Materials for others manufacturing,107.3,
2014,MAY,2.2,Materials and components for construction,102.6,
2014,MAY,2.3,Processed fuels and lubricants,136.5,
2014,MAY,2.4,Containers,102.8,
2014,MAY,2.5,Supplies,112.3,
2014,MAY,2.5.1,Manufacturing industries,113.0,
2014,MAY,2.5.2,Non-manufacturing industries,107.2,
2014,MAY,2.5.2.1,Feeds,-,
2014,MAY,2.5.2.2,Other supplies,107.2,
2014,MAY,3,Finished goods,100.9,
2014,MAY,3.1,Finished consumer goods,106.4,
2014,MAY,3.1.1,Finished consumer foods,110.8,
2014,MAY,3.1.1.1,Crude,131.3,
2014,MAY,3.1.1.2,Processed,108.8,
2014,MAY,3.1.2,Finished consumer goods excluding foods,104.5,
2014,MAY,3.1.2.1,Durable,103.5,
2014,MAY,3.1.2.2,Semi-durable,106.5,
2014,MAY,3.1.2.3,Non-durable,103.7,
2014,MAY,3.2,Capital equipment,98.3,
2014,MAY,3.2.1,Manufacturing industries,98.9,
2014,MAY,3.2.2,Non-manufacturing industries,97.8,
2014,JUN,Total,Total,111.4,
2014,JUN,1,Crude materials for further processing,120.9,
2014,JUN,1.1,Foodstuffs and feedstuffs,120.5,
2014,JUN,1.2,Non-food materials,121.1,
2014,JUN,1.2.1,Non-food materials except fuel,88.8,
2014,JUN,1.2.2,Crude fuel,134.7,
2014,JUN,2,Intermediate materials supplies and components,112.9,
2014,JUN,2.1,Materials and components for manufacturing,104.7,
2014,JUN,2.1.1,Materials for food manufacturing,99.6,
2014,JUN,2.1.2,Materials for others manufacturing,106.7,
2014,JUN,2.2,Materials and components for construction,102.2,
2014,JUN,2.3,Processed fuels and lubricants,134.5,
2014,JUN,2.4,Containers,102.5,
2014,JUN,2.5,Supplies,113.5,
2014,JUN,2.5.1,Manufacturing industries,114.4,
2014,JUN,2.5.2,Non-manufacturing industries,107.2,
2014,JUN,2.5.2.1,Feeds,-,
2014,JUN,2.5.2.2,Other supplies,107.2,
2014,JUN,3,Finished goods,100.9,
2014,JUN,3.1,Finished consumer goods,106.4,
2014,JUN,3.1.1,Finished consumer foods,111.1,
2014,JUN,3.1.1.1,Crude,133.5,
2014,JUN,3.1.1.2,Processed,108.8,
2014,JUN,3.1.2,Finished consumer goods excluding foods,104.3,
2014,JUN,3.1.2.1,Durable,103.6,
2014,JUN,3.1.2.2,Semi-durable,106.4,
2014,JUN,3.1.2.3,Non-durable,103.4,
2014,JUN,3.2,Capital equipment,98.4,
2014,JUN,3.2.1,Manufacturing industries,98.9,
2014,JUN,3.2.2,Non-manufacturing industries,97.9,
2014,JUL,Total,Total,111.0,
2014,JUL,1,Crude materials for further processing,117.7,
2014,JUL,1.1,Foodstuffs and feedstuffs,120.1,
2014,JUL,1.2,Non-food materials,117.1,
2014,JUL,1.2.1,Non-food materials except fuel,86.2,
2014,JUL,1.2.2,Crude fuel,130.2,
2014,JUL,2,Intermediate materials supplies and components,113.4,
2014,JUL,2.1,Materials and components for manufacturing,104.1,
2014,JUL,2.1.1,Materials for food manufacturing,98.9,
2014,JUL,2.1.2,Materials for others manufacturing,106.2,
2014,JUL,2.2,Materials and components for construction,102.3,
2014,JUL,2.3,Processed fuels and lubricants,137.6,
2014,JUL,2.4,Containers,102.4,
2014,JUL,2.5,Supplies,113.7,
2014,JUL,2.5.1,Manufacturing industries,114.5,
2014,JUL,2.5.2,Non-manufacturing industries,107.4,
2014,JUL,2.5.2.1,Feeds,-,
2014,JUL,2.5.2.2,Other supplies,107.4,
2014,JUL,3,Finished goods,100.8,
2014,JUL,3.1,Finished consumer goods,106.3,
2014,JUL,3.1.1,Finished consumer foods,110.6,
2014,JUL,3.1.1.1,Crude,133.6,
2014,JUL,3.1.1.2,Processed,108.3,
2014,JUL,3.1.2,Finished consumer goods excluding foods,104.4,
2014,JUL,3.1.2.1,Durable,103.6,
2014,JUL,3.1.2.2,Semi-durable,106.8,
2014,JUL,3.1.2.3,Non-durable,103.3,
2014,JUL,3.2,Capital equipment,98.2,
2014,JUL,3.2.1,Manufacturing industries,98.6,
2014,JUL,3.2.2,Non-manufacturing industries,97.8,
2014,AUG,Total,Total,109.6,
2014,AUG,1,Crude materials for further processing,112.9,
2014,AUG,1.1,Foodstuffs and feedstuffs,119.6,
2014,AUG,1.2,Non-food materials,111.2,
2014,AUG,1.2.1,Non-food materials except fuel,76.9,
2014,AUG,1.2.2,Crude fuel,125.7,
2014,AUG,2,Intermediate materials supplies and components,112.6,
2014,AUG,2.1,Materials and components for manufacturing,103.3,
2014,AUG,2.1.1,Materials for food manufacturing,96.5,
2014,AUG,2.1.2,Materials for others manufacturing,106.0,
2014,AUG,2.2,Materials and components for construction,102.2,
